Author,Description,Gener,title
Hart Natalie,"Shortlisted for Costa First Novel Award 2018 Prima Magazine Best Books of the Year The Reading Agency Top Debuts of 2018 `An important and timely story that explores the ongoing impact of war and how it's often left to the women to pick up the pieces. The way Hart has made a mosaic of different women's experiences, be they British, American or Iraqi, is profoundly moving. Pieces of Me is a love story that will leave you in tatters and yet there is an enduring sense of women making, mending and creating that gives this book a radiance. I will never forget it.' Tor Udall, author of `A Thousand Paper Birds' Emma did not go to war looking for love, but Adam is unlike any other. Under the secret shadow of trauma, Emma decides to leave Iraq and joins Adam to settle in Colorado. But isolation and fear find her, once again, when Adam is re-deployed. Torn between a deep fear for Adam's safety and a desire to be back there herself, Emma copes by throwing herself into a new role mentoring an Iraqi refugee family. But when Adam comes home, he brings the conflict back with him. Emma had considered the possibility that her husband might not come home from war. She had not considered that he might return a stranger. What Reviewers and Readers are saying: `An astounding debut, Pieces of Me is a beautiful book written with emotion and compassion and will stay with me for a long time. It's characters and story tugged at my heart with every turning page.' Nina Pottell, Books Editor, Prima Magazine `Heart-wrenching and heart-warming in equal measure, Pieces of Me is an incredibly moving tale of love and conflict. A compelling and accomplished debut, Natalie writes with the skill and confidence of a writer who's been published for years. I couldn't put it down' Harper's Bazaar 'Pieces of Me is a brilliantly observed and nuanced look at the war in Iraq and how conflict impacts on the lives of everyone involved' Laura Kaye, author of English Animals 'I devoured this book, and I feel like I'll carry Emma and Adam with me for a long time. Hart tells this devastating story beautifully' Laura Pearson, author of Missing Pieces `Pieces of Me churns with love and rage and hope and terror, as only the best war books can. Natalie Hart writes like a born storyteller, and she uses that gift here to explore how the Iraq War lingers in the dark corners of souls desperate to move on from it. Readers are in for a ride' Matt Gallagher, author of Youngblood `Pieces of Me is a quietly powerful exploration of the complex effects of the Iraq war...The novel builds in power and speaks authoritatively on the polarisation of the lives changed forever by conflict' Zoe Lambert `Natalie Hart's brilliant Pieces of Me is-like Graham Greene's The End of the Affair-a love story set amid the ruins of war. As a British civilian who meets her American husband in Iraq, the narrator, Emma McLaughlin, is a first-hand witness to the ways armed conflict breaks soldiers and non-combatants alike. Her testimony, and this novel, is unforgettably complex and devastating-as it should be' Whitney Terrell, author of The Good Lieutenant `Natalie Hart's vivid novel, Pieces of Me, examines the lives of deployed soldiers' families and displaced Iraqi civilians, eloquently revealing how even the most tightly knit relationships can unravel under the stress of war' Siobhan Fallon, author of You Know When the Men Are Gone and The Confusion of Languages",Fiction  ,Pieces of Me - Shortlisted for Costa First Novel Award
Geronimo Stilton,"The Thea Sisters are headed to Venice, Italy! They'll be there for the Carnival, an annual festival that's famouse for its elaborate masks. They mouselets love exploring the city's bridges and canals, and seeing the beautiful costumes mice wear to Carnival celebrations. But a mysterious thief strikes while they are there! Can they catch and unmask him before the festival ends?",Fiction  ,Thea Stilton and the Venice Masquerade
Crane Mrs Shelly,"Sherry and Merrick's story continues in this sequel to Collide. In this installment, we come face to face with old acquantances and new friends and new enemies. Things will change for all of them especially when a little girl is found and everyone's loyalties are tested. A revelation may upset the delicate balance they've all tried so hard to set. There's new love, new rivalries and new transformations in the continuing series of Collide.",Fiction  ,Uprising 
Goscinny Rene,"A collaborator in ancient Gaul? Chief Cassius Ceramix has gone over to the Roman enemy. There's something very fishy going on, as Legionary Infirmofpurpus discovers when he is sent to spy on the Gauls disguised as a crab apple tree. But is that just a red herring? And what about the two concussed druids brewing colourful potions? One way or another, the fight for control of the village between Vitalstatistix and his rival is bound to be a knockout.",Comics & Graphic Novels  ,Asterix: Asterix and the Big Fight
Ohba Tsugumi,"With Near openly suspecting the new L of being Kira and sowing doubt in the hearts of the taskforce members, Light is once again forced to pass the Death Note on to another to take the heat off himself. But this time, Kira chooses a disciple from among his true believers. With no way to contact his successor directly, Light must rely on his faithful follower's adherence to Kira's goals. Will this newest move bring Light's ideal world closer to reality? Or will losing control of the Death Note spell Light's doom?",Comics & Graphic Novels  ,"Death Note, Vol. 10"
Manning Matthew,"Discovered in the Batcave, The Batman Files is Bruce Wayne's secret journal, containing all the intricate information needed to carry on his mission, just in case ... Batman is a cultural, super-hero icon. First introduced in 1939, the alter ego of Bruce Wayne has been known through countless DC comics, a TV series, and mega hit movies. Unearthed from the depths of the Batcave by Mathew K. Manning, The Batman Files begins with Wayne's childhood drawings and continues along a time line of significant events in Batman's life. Complete and authentic in every way possible, all of Batman's friends and foes--from Poison Ivy, Catwoman, the Riddler, and Penguin, to the Joker, Batgirl, Mr. Freeze, and of course, Robin--appear throughout the dossier to provide a framework of the Caped Crusader's entire career. Completely outlining Batman's war on crime, The Batman Files includes in-depth computer files, news articles, crime scene photos, blueprints, schematics, and actual maps of Gotham City that were collected, and in many cases even drawn, by the Caped Crusader himself.",Antiques & Collectibles  ,The Batman Files
Chambers Robert W.,"With an Introduction by David Stuart Davies. 'I read it and reread it, and wept and laughed and trembled with horror which at all times assails me yet'. With its strange, imaginative blend of horror, science fiction, romance and lyrical prose, Robert W. Chambers' The King in Yellow is a classic masterpiece of weird fiction. This series of vaguely connected stories is linked by the presence of a monstrous and suppressed book which brings fright, madness and spectral tragedy to all those who read it. An air of futility and doom pervade these pages like a sweet insidious poison. Dare you read it? This collection has been called the most important book in American supernatural fiction between Poe and the moderns. H. P. Lovecraft, creator of the famed Cthulu mythos, whose own fiction was greatly influenced by this book stated that The King in Yellow 'achieves notable heights of cosmic fear'.",Fiction  ,The King in Yellow
Bernardine Evaristo,"Meet Zuleika: sassy girl about town, hellraiser, bored ex-child-bride in Londinium, AD 211. In the place (and time) to be ...Through the bustling, hustling city, we follow Zuleika, feisty and precocious daughter of Sudanese immigrants. Married off to a rich, fat, absent Roman, she is stranded in luxurious neglect, until, one day the Emperor himself, comes to town, bringing with him not just love - but danger ...Funky and funny, sexy and moving, this novel in verse is a triumph of imaginative writing - and of sheer lyrical and emotional vitality.",Fiction  ,The Emperor's Babe: A Novel
Wynne D.,"Victorian sensation novels, with their compulsive plots of crime, transgression and mystery, were bestsellers. Deborah Wynne analyses the fascinating relationships between sensation novels and the magazines in which they were serialized. Drawing upon the work of Wilkie Collins, Mary Braddon, Charles Dickens, Ellen Wood, and Charles Reade, and such popular family journals as All The Year Round, The Cornhill, and Once a Week , the author highlights how novels and magazines worked together to engage in the major cultural and social debates of the period.",Literary Criticism  ,The Sensation Novel and the Victorian Family Magazine
Blumberg Jane,"Mary Shelley's Early Novels seeks to redress the commonly held view that Mary Shelley was simply another mouthpiece for her husband, Percy Bysshe Shelley. Her most challenging and ambitious novels; Frankenstein, Valperga, and The Last Man, are examined in the light of her intellectual relationship with Percy Shelley. We see the way in which these novels reflect her gradual rejection of his radical tenets in an assertion of her own intellectual and ideological independence.",Fiction  ,Mary Shelley's Early Novels
Eliot George,"The Clarendon edition of Adam Bede (1859) is the first critical edition of the work that established George Eliot's reputation. Its extensive textual apparatus lists manuscript and first edition variants from the copy-text, which is the corrected eighth edition of 1861 - her last revision of the book. The introduction locates the genesis of the novel in Eliot's family history, her travels, and her reading of literature and biography, and describes the composition process, including her debate with the publisher John Blackwood about the suitability of the subject-matter for a family audience, as both author and publisher anticipated its appearing initially in Blackwood's Edinburgh Magazine. Using Blackwood's publication ledgers, it also establishes the details of the eleven complete or nearly complete resettings of the novel in Eliot's lifetime; and examines the author's revisions to a manuscript that is popularly, but erroneously, thought to have been little altered, giving detailed attention to the dialect in the context of more than 900 variants between manuscript and first edition.",Fiction  ,Adam Bede
Levine George,"How to Read the Victorian Novel provides a unique introduction to the genre. Using examples from the classics, like The Pickwick Papers, David Copperfield, Jane Eyre, The Woman in White, and Middlemarch, it demonstrates just how unfamiliar their familiarity is. The book attempts to break free of the sense that the Victorian novel is somehow old fashioned, moralizing, and formally careless by emphasizing the complexity, difficulty, and rare pleasures of the Victorian writers' strenuous efforts both to entertain and to teach; to create serious ""art"" and to appeal to wide audiences; to respond both to the demands of publishing and also to their own rich imaginative engagement with a world heading into modernity at full speed. Broad in its scope, the text surveys a wide variety of literary types and explores the cultural and historical developments of the novel form itself. The book also poses a series of ""big questions"" pertaining to money, capitalism, industry, race, gender, and, at the same time, to formal issues, such as plotting, perspective, and realist representation.In addition, it locates the qualities that give to the great variety of Victorian novels a ""family resemblance,"" the material conditions of their production, their tendency to multiply plots, their obsession with class and money, their problematic handling of gender questions, and their commitment to realist representation. How to Read the Victorian Novel challenges our comfortable expectations of the genre in order to explore intensively a burgeoning and changing literary form which mirrors a burgeoning and changing society.",Literary Criticism  ,How to Read the Victorian Novel
McWilliams John,"John McWilliams has written the first, much needed account of the ways the promise and threat of political revolution have informed masterpieces of the historical novel. The jolting sense of historical change caused by the French Revolution led to an immense readership for a new kind of fiction, centered on revolution, counter-revolution and warfare, which soon came to be called ""the historical novel."" During the turbulent wake of The Declaration of the Rights of Man, promptly followed by the phenomenon of Napoleon Bonaparte, the historical novel thus served as a literary hybrid in the most positive sense of that often-dismissive term. It enabled readers to project personal hopes and anxieties about revolutionary change back into national history. While immersed in the fictive lives of genteel, often privileged heroes, readers could measure their own political convictions against the wavering loyalties of their counterparts in a previous but still familiar time. McWilliams provides close readings of some twenty historical novels, from Scott and Cooper through Tolstoy, Zola and Hugo, to Pasternak and Lampedusa, and ultimately to Marquez and Hilary Mantel, but with continuing regard to historical contexts past and present. He traces the transformation of the literary conventions established by Scott's Waverley novels, showing both the continuities and the changes needed to meet contemporary times and perspectives. Although the progressive hopes imbedded in Scott's narrative form proved no longer adaptable to twentieth century carnage and the rise of totalitarianism, the meaning of any single novel emerges through comparison to the tradition of its predecessors. A foreword and epilogue explore the indebtedness of McWilliams's perspective to the Marxist scholarly tradition of Georg Lukacs and Frederic Jameson, while defining his differences from them. This is a scholarly work of no small ambition and achievement.",Literary Criticism  ,Revolution and the Historical Novel
Demirturk E. Lale,"This book examines the post-9/11 African American novels, developing a new critical discourse on everyday discursive practices of whiteness. It examines not only how instances of racialization are generated through the embodied practices of whiteness in everyday interracial social encounters, but also how whiteness is ""undone"" by and through the black embodied practices of black people, who find different ways of practicing their agency to work for social change.",Literary Criticism  ,The Twenty-first Century African American Novel and the Critique of Whiteness in Everyday Life
Young Arlene,"This book examines class and its representation in Victorian literature, focusing on the emergence of the lower middle class and middle-class responses to it. Arlene Young analyses portraits of white-collar workers, both men and women, who laboured under disparaging misperceptions of their values, abilities, and cultural significance, and shows how these misperceptions were both formulated and resisted. The analysis includes canonical texts like Dickens's Little Dorrit and Gissing's The Odd Women as well as less well-known works by Dinah Mulock Craik, Margaret Oliphant, Amy Levy, Grant Allen, H.G. Wells, Arnold Bennett, and May Sinclair.",Literary Criticism  ,"Culture, Class and Gender in the Victorian Novel"
Rajani Thindiath,Double Digest Assorted Pack of 24,books  ,Double Digest Assorted Pack of 24
Martin George R. R.,"George R. R. Martin's epic fantasy masterwork A Game of Thrones is brought to life in the pages of this full-colour graphic novel. This is the third volume in what is sure to be one of the most coveted collaborations of the year. Now a major Sky Atlantic TV series from HBO, featuring a stellar cast. When dealing with a masterpiece, only the best will do. That's why writer Daniel Abraham and illustrator Tommy Patterson were chosen to adapt George R. R. Martin's beloved fantasy classic A Game of Thrones as a graphic novel. And as anyone who has read the previous two collected volumes of the ongoing series can attest, the result has been a stunning tour de force faithful in every respect to its brilliant original. In King's Landing, Lord Eddard Stark of Winterfell-the Hand of King Robert Baratheon-is surrounded by enemies. Some are openly declared, such as Ser Jaime Lannister and his sister, Queen Cersei. Others are hidden in the shadows. Still others wear the smiling mask of friends. But all are deadly, as Eddard is about to discover. Nor is the enmity between Eddard and the Lannister siblings the sole source of friction between these powerful noble families. For Tyrion Lannister, the Imp-whose stunted, twisted body houses the mind of a genius-has but lately won his freedom from Lady Catelyn Stark, Eddard's wife, who had accused him of attempting to murder her youngest son, Brandon. Now he seeks out his father, his restless thoughts bent on revenge. Far to the north, the bastard Jon Snow, newly sworn to the Night's Watch, takes the first faltering steps toward a destiny stranger than he could ever dream-a destiny that will bring him face-to-face with unspeakable horrors from beyond the edge of the world. While across the Narrow Sea, Daenerys Targaryen, wed to the great Dothraki warlord Khal Drogo, and pregnant with his child-a son prophesied to conquer the world-will see her own destiny take an unforeseen turn.",Comics & Graphic Novels  ,"A Game of Thrones: Graphic Novel, Volume Three"
Padua Sydney,"'So impossibly funny, clever, demented, charming and altogether wonderful that I was a convert within three pages. Buy it for everyone you know, regardless of what you think they like. Brilliant stuff' Lucy Mangan, Stylist Books of the Year 'An eye-opener... The more I think about this, the higher I esteem it' - Nicholas Lezard, Guardian Books of the Year *Winner of the British Book Design and Production Award for Graphic Novels* *Winner of the Neumann Prize in the History of Mathematics* *Nominated for the 2016 Eisner Award for Best Graphic Album and Best Writer/Artist* In The Thrilling Adventures of Lovelace and Babbage Sydney Padua transforms one of the most compelling scientific collaborations into a hilarious set of adventures Meet two of Victorian London's greatest geniuses... Ada Lovelace, daughter of Lord Byron: mathematician, gambler, and proto-programmer, whose writings contained the first ever appearance of general computing theory, a hundred years before an actual computer was built. And Charles Babbage, eccentric inventor of the Difference Engine, an enormous clockwork calculating machine that would have been the first computer, if he had ever finished it. But what if things had been different? The Thrilling Adventures of Lovelace and Babbage presents a delightful alternate reality in which Lovelace and Babbage do build the Difference Engine and use it to create runaway economic models, battle the scourge of spelling errors, explore the wider realms of mathematics and, of course, fight crime - for the sake of both London and science. Extremely funny and utterly unusual, The Thrilling Adventures of Lovelace and Babbage comes complete with historical curiosities, extensive footnotes and never-before-seen diagrams of Babbage's mechanical, steam-powered computer. And ray guns.",Comics & Graphic Novels  ,The Thrilling Adventures of Lovelace and Babbage
Swati Shome,"""Come in for a haircut!You choose... We cut!""says the sign outside a hair cutting saloon, so a lion walks in to do just that. But where is everyone? And who are these other lions staring at him?",Children  ,Lion Goes For A Haircut 
Goscinny Rene,"Vendettas, fierce family pride, resistance fighters dodging the enemy in the maquis - we're in Cosica in 50 BC. Asterix and Obelix help Chief Boneywasawarriorwayayix to foil the evil designs of Praetor Perfidius and oppose Julius Caesar's army. For the only emperor the proud Corsicans will ever accept, so they say, must be a Corsican himself...",Comics & Graphic Novels  ,Asterix: Asterix in Corsica
Laxman R. K.,"This book contains two novels by R. K. Laxman: The Hotel Riviera and The Messenger, and his autobiography, The Tunnel of Time.Summary of the BookThe Hotel RivieraThis story revolves around the Hotel Riviera and the main characters are the author himself and the manager at Hotel Riviera. It is essentially the story of a middle-aged man who falls in love with a woman named Sabitha. He struggles to tell her about his feelings for her.The MessengerShekar works in Bombay where his boss, Daya Sagar, runs a magazine. DayaÄôs does other works are considered to be immoral and Shekar is dragged into all of it. Along the way, Shekar falls in love with his employerÄôs daughter and they make a plan to elope. None of his plans work out and Shekar suffers many losses that leave him wiser and more mature than he used to be.The Tunnel of TimeIf you are a huge fan of R. K. Laxman and his works, then this book offers you the best way to get to know a little more about the cartoonist and writer. The book is basically a collection of memories and thoughts that are put across to us in the form of cartoon strips. It narrates his life in a very unusual way and through simple narration.About R. K. LaxmanR. K. Laxman, an Indian cartoonist, humorist and illustrator, was best known for his creation called The Common Man. He is also known for ÄúYou Said ItÄù, his cartoon strip in The Times of India. He started off as a part-time cartoonist and would mostly work for local newspapers and magazines. He started working full time for The Free Press Journal as a political cartoonist. He later joined The Times of India.",Biography & Autobiography  ,Collected Writing
Kipling Rudyard,"Relive the magic of Mowgli and his friends in this graphic novel rendition of Rudyard KiplingÄôs timeless classic: The Jungle Book!Summary of the BookMowgli is a young boy, but there is a big difference in the way he has been brought up. Some children are brought up by their parents, others are brought up in foster homes or by their relatives. Mowgli is very different, for he was brought up by Wolves in the Indian forests. From his infancy, Mowgli has been trained to think like a creature of the forests, he has the instincts of a jungle creature, and these instincts keep him safe. He has trustworthy friends like his wolf brothers, Baloo, the bear, and even the reluctant Bagheera, the Panther. However, are these friends enough to keep the curious man-child away from trouble? Mowgli needs to keep on his toes if he is to survive in the forest, for not only does he have to watch out for the devilish Kaa, the Python, but also the evil Shere Khan, the beastly Tiger and the undisputed lord of the jungle. Can Mowgli and his friends keep Shere Khan and his fangs at bay or will they fall prey to his ravenous hunger? Find out in this stunningly illustrated graphic novel adaptation of the classic childrenÄôs book by Rudyard Kipling.About the AuthorsJoseph Rudyard Kipling was an English novelist, short-story writer and poet. He has also written the Just So Stories and Kim. He was the first English language writer and the youngest writer to be awarded the Nobel Prize in Literature.Dan Johnson is a writer. He has also adapted Charles DickenÄôs Oliver Twist, Daniel DefoeÄôs Robinson Crusoe and Sinbad: The Legacy.Amit Tayal is an Indian illustrator from Delhi. He has worked on several other titles including: Steve Jobs - Genius by Design, Alibaba and Forty Thieves - Reloaded, The Three Musketeers, Conquering Everest, Swiss Family Robinson, The Forest, The Tempest†and The Legend of Karna.",Juvenile Fiction  ,The Jungle Book
Vlock Deborah,"Dickens' novels, like those of his contemporaries, are more explicitly indebted to the theatre than scholars have supposed: his stories and characters were often already public property by the time they were published, circulating as part of a current theatrical repertoire well known to many Victorian readers. In this 1998 study, Deborah Vlock argues that novels - and novel-readers - were in effect created by the popular theatre in the nineteenth century, and that the possibility of reading and writing narrative was conditioned by the culture of the stage. Vlock resuscitates the long-dead voices of Dickens' theatrical sources, which now only tentatively inhabit reviews, scripts, fiction and non-fiction narratives, but which were everywhere in Dickens' time: voices of noted actors and actresses and of popular theatrical characters. She uncovers unexpected precursors for some popular Dickensian characters, and reconstructs the conditions in which Dickens' novels were initially received.",Literary Criticism  ,"Cambridge Studies in Nineteenth-Century Literature and Culture: Dickens, Novel Reading, and the Victorian Popular Theatre Series Number 19"
Shahzad Sohail Anjum,"In his thesis, Sohail Shahzad carefully investigates carbon nucleophiles in selenocyclisations, as well as reaction protocols for performing such reactions catalytically. After a comprehensive introduction to the element selenium, the author goes on to report the synthesis of several substrates for carbocyclisation reactions and the use of selenium reagents for the preparation of dihydronaphthalenes. Further chapters detail electrophilic selenium-mediated reactions, and novel strategies using selenium catalysts together with stoichiometric amounts of hypervalent iodine reagents as oxidants to convert stilbene carbosylic acids into the corresponding isocoumarins. This thesis outlines some excellent new synthetic routes which will be useful tools for synthetic organic chemistry in the future.",Science  ,Novel Selenium-Mediated Rearrangements and Cyclisations
Don Winslow,"From the New York Times bestselling author of The Cartel winner of the Ian Fleming Steel Dagger Award for Best Thriller of the Year comes The Force, a cinematic epic as explosive, powerful, and unforgettable as The Wire.Detective sergeant Denny Malone leads an elite unit to fight gangs, drugs and guns in New York. For eighteen years he's been on the front lines, doing whatever it takes to survive in a city built by ambition and corruption, where no one is clean.What only a few know is that Denny Malone himself is dirty: he and his partners have stolen millions of dollars in drugs and cash. Now he's caught in a trap and being squeezed by the Feds, and he must walk a thin line of betrayal, while the city teeters on the brink of a racial conflagration that could destroy them all.Don Winslow's latest novel is a haunting story of greed and violence, inequality and race, and a searing portrait of a city on the edge of an abyss. Full of shocking twists, this is a morally complex and riveting dissection of the controversial issues confronting society today.About the Author Don Winslow is the author of nineteen acclaimed, award-winning, international bestsellers - including the No. 1 international bestseller The Cartel, winner of the Ian Fleming Steel Dagger Award, The Power of the Dog, Savages, and The Winter of Frankie Machine - several of which have been made into movies or are in development. A former investigator, anti-terrorist trainer, and trial consultant, Winslow lives in Southern California.",Fiction  ,The Force - Good Cop or Bad Cop? We're All Corrupt. Just In Our Own Ways...
DK Publishing,Each book is highly illustrative with recognizable Chhota Bheem characters. The subject both educates and entertains. The book contains narrative spreads that tell the story and feature pages that pique the child's curiosity. There is a note to parents and teachers at the end of the book that explains the significanceof the series. This book introduces children to wild animals that are caredfor in a zoo.,Comics & Graphic Novels  ,Bheem goes to the Zoo
Samuels Shirley,"Reading the American Novel 1780-1865 provides valuable insights into the evolution and diversity of fictional genres produced in the United States from the late 18th century until the Civil War, and helps introductory students to interpret and understand the fiction from this popular period. * Offers an overview of early fictional genres and introduces ways to interpret them today * Features in depth examinations of specific novels * Explores the social and historical contexts of the time to help the readers understanding of the stories * Explores questions of identity - about the novel, its 19th-century readers, and the emerging structure of the United States - as an important backdrop to understanding American fiction * Profiles the major authors, including Louisa May Alcott, Charles Brockden Brown, James Fenimore Cooper, Nathaniel Hawthorne, Herman Melville, Harriet Beecher Stowe, alongside less familiar writers such as Fanny Fern, Caroline Kirkland, George Lippard, Catharine Sedgwick, and E. D. E. N. Southworth * Selected by Choice as a 2013 Outstanding Academic Title",Literary Criticism  ,Reading the American Novel 1780 - 1865
Korzun Dmitry,"The Internet of Things has become a major influence on the development of new technologies and innovations. When combined with smart services, the end-user experience can be significantly enhanced. Novel Design and the Applications of Smart-M3 Platforms in the Internet of Things: Emerging Research and Opportunities provides an innovative outlook on the development of open source technology for the creation of smart spaces and services. Including a range of relevant topics such as interoperability, system architecture, and information processing, this book is an ideal reference source for academics, researchers, graduate students, and practitioners interested in the latest advancements in the Internet of things.",Computers  ,Novel Design and the Applications of Smart-M3 Platforms in the Internet of Things
Bone Emily,"What is the surface of Mars like? Why does Venus glow in the dark? How do scientists explore faraway planets? Beginner readers can find answers to these questions and more in this colourful information book. Illustrated with stunning photographs and illustrations accompanied by short, informative text developed with reading experts. Includes carefully selected internet-links to exciting websites about the Solar System.",Juvenile Fiction  ,The Solar System
Goldratt Eliyahu M.,"Alex Rogo is a harried plant manager who has been given 90 days to save his failing factory. If he doesn't improve the plant's performance, corporate headquarters will close it down and hundreds of workers will lose their jobs. It takes a chance meeting with Jonah, a former professor, to help him break out of his conventional thinking and figure out what needs to be done. As Alex identifies the plant's problems and works with his team to find solutions, the reader gains an understanding of the fundamental concepts behind the Theory of Constraints. Visual and fun to read, The Goal: A Business Graphic Novel offers an accessible introduction to the Theory of Constraints concepts presented in The Goal, the business novel on which it was based. The Goal is widely considered to be one of the most influential business books of all time. A bestseller since it was first published in 1984, the business novel has sold over 7 million copies, been translated into 32 languages and is taught in colleges, universities, and business schools around the world. Named to Time magazine's list of the 25 Most Influential Business Management Books, it is frequently cited by executives as a favorite or must-read title.",Comics & Graphic Novels  ,The Goal
Swati Kaushal,"A luxurious hilltop resort.A high-stakes corporate retreat for a team of cutthroat professionals.An unexpected death, a roomful of suspects, a handsome Army officer with a secret past.It is peak tourist season in Shimla, and the last thing anyone needs is a dead body appearing mysteriously at the bottom of a hill. Enter Shimla's ace cop, the hot and happening Superintendent of Police Niki Marwah, determined to leave no stone unturned in her quest to nail the culprit.As Niki and her team race against time to solve the mystery, they uncover a web of bitter rivalries, secret grudges and vicious lies. Everything points to murder and, with the list of suspects growing, Niki realizes it will take all of her ingenuity to stop a ruthless killer.About the AuthorSwati Kaushal is the bestselling author of four highly acclaimed novels, Piece of Cake, A Girl Like Me, Drop Dead and Lethal Spice. An alumna of Lady Shri Ram College, New Delhi, and an MBA from IIM Calcutta, Swati has worked with Nestl√© India Ltd and Nokia Mobile Phones, India. She lives in Connecticut with her husband, kids and a few good friends. To connect with Swati visit her Facebook page Author Swati Kaushal, follow her on Twitter at @swatikaushal, or leave a review or comment on her Amazon and Goodreads author pages.",Fiction  ,Drop Dead
Peirce Lincoln,"Big Nate's Greatest Hitscollects three bestselling e-book only collections--Big Nate Makes a Splash, Big Nate Dibs on This Chair, and Big Nate Pray for a Fire Drill--in this super-sized, paperback edition. Nate Wright is a wisecracking 11-year-old who knows he's destined for greatness. The star of Big Nate, the daily and Sunday comic strip that made its debut in 1991, Nate's a sixth-grade chess prodigy, a self-described genius, and the all-time record holder for detentions in school history. He's often in hot water with his teachers and classmates, but Nate's winning personality and can-do attitude always make him a big hit with readers.",Juvenile Fiction  ,Big Nate's Greatest Hits
Ohba Tsugumi,†Comics & Graphic Novels,"Light Yagami is an ace student with great prospects - and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Note to rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal or his life?","Death Note, Vol. 9"
Ohba Tsugumi,†Comics & Graphic Novels,"Light Yagami is an ace student with great prospects - and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Noteto rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal...or his life? Although they've collected plenty of evidence tying the seven Yotsuba members to the newest Kira, Light, L and the rest of the taskforce are no closer to discovering which one actually possesses the Death Note. Desperate for some headway, L recruits Misa to infiltrate the group and feed them information calculated to bring Kira into the open. But the Shinigami Rem reveals to Misa who the Kiras really are, and, armed with this knowledge, Misa will do anything to help Light. But what will that mean for L","Death Note, Vol. 6"
Ohba Tsugumi,†Comics & Graphic Novels,"Light's latest machinations are putting a strain on even his formidable intellect as Near flies to Japan to beard Kira in his den. Near is sure that Light is Kira, but his sense of honour as L's heir will allow no doubts. He doesn't want to just stop the Kira murders, he wants to expose Light as the Death Note killer. Light thinks he's up to the challenge, but will the pressures of his fiancee, his new flame, and his acolyte prove to be fatal distractions?","Death Note, Vol. 11"
